2022-04-01 22:02:14 EPC: 007219000000000000000E20, TID: E28011052000529CD1190065
2022-04-01 22:02:21 EPC: 007219000000000000000E20, TID: E28011052000529CD1190065
2022-04-01 22:02:22 EPC: 007219000000000000000E20, TID: E28011052000529CD1190065
2022-04-01 22:02:23 EPC: 007219000000000000000E20, TID: E28011052000529CD1190065
2022-04-01 22:02:33 EPC: 007219000000000000000CAD, TID: E28011052000535AD2850065
2022-04-01 22:02:35 EPC: 007219000000000000000CAD, TID: E28011052000535AD2850065
2022-04-01 22:02:43 EPC: 007219000000000000000DDE, TID: E280110520005AC4D4400065
2022-04-01 22:02:51 EPC: 007219000000000000000BE3, TID: E280110520005045D3320065
2022-04-01 22:02:52 EPC: 007219000000000000000BE3, TID: E280110520005045D3320065
2022-04-01 22:03:10 EPC: 007219000000000000000A8E, TID: E280110520005949D2AD0065
2022-04-01 22:03:12 EPC: 007219000000000000000A8E, TID: E280110520005949D2AD0065
2022-04-01 22:03:17 EPC: 007219000000000000000A8E, TID: E280110520005949D2AD0065
2022-04-01 22:03:19 EPC: 007219000000000000000A8E, TID: E280110520005949D2AD0065
2022-04-01 22:03:20 EPC: 007219000000000000000A8E, TID: E280110520005949D2AD0065
2022-04-01 22:03:40 EPC: 007219000000000000000A8E, TID: E280110520005949D2AD0065
