2022-04-02 21:54:01 EPC: 007219000000000000000511, TID: E28011052000539AD1190065
2022-04-02 21:54:02 EPC: 007219000000000000000511, TID: E28011052000539AD1190065
2022-04-02 21:54:16 EPC: 007219000000000000000A9B, TID: E280110520005943D3A50065
2022-04-02 21:54:25 EPC: 0072190000000000000004B0, TID: E2801105200050D9D1A40065
2022-04-02 21:54:26 EPC: 0072190000000000000004B0, TID: E2801105200050D9D1A40065
2022-04-02 21:54:31 EPC: 0072190000000000000004B0, TID: E2801105200050D9D1A40065
2022-04-02 21:54:32 EPC: 0072190000000000000004B0, TID: E2801105200050D9D1A40065
2022-04-02 21:54:33 EPC: 0072190000000000000004B0, TID: E2801105200050D9D1A40065
2022-04-02 21:54:34 EPC: 0072190000000000000004B0, TID: E2801105200050D9D1A40065
2022-04-02 21:55:13 EPC: 0072190000000000000003F9, TID: E280110520005986D48B0065
2022-04-02 21:55:15 EPC: 0072190000000000000003F9, TID: E280110520005986D48B0065
2022-04-02 21:55:23 EPC: 007219000000000000000A5C, TID: E280110520005645D2590065
2022-04-02 21:55:25 EPC: 007219000000000000000A5C, TID: E280110520005645D2590065
2022-04-02 21:55:36 EPC: 00721900000000000000050D, TID: E28011052000545AD12D0065
2022-04-02 21:55:37 EPC: 00721900000000000000050D, TID: E28011052000545AD12D0065
2022-04-02 21:55:39 EPC: 00721900000000000000050D, TID: E28011052000545AD12D0065
2022-04-02 21:55:40 EPC: 00721900000000000000050D, TID: E28011052000545AD12D0065
2022-04-02 21:55:42 EPC: 00721900000000000000050D, TID: E28011052000545AD12D0065
2022-04-02 21:55:45 EPC: 00721900000000000000050D, TID: E28011052000545AD12D0065
2022-04-02 21:55:46 EPC: 00721900000000000000050D, TID: E28011052000545AD12D0065
2022-04-02 21:55:47 EPC: 00721900000000000000050D, TID: E28011052000545AD12D0065
2022-04-02 21:55:59 EPC: 007219000000000000000A5C, TID: E280110520005645D2590065
2022-04-02 21:56:06 EPC: 0072190000000000000003F9, TID: E280110520005986D48B0065
2022-04-02 21:56:21 EPC: 0072190000000000000003F9, TID: E280110520005986D48B0065
2022-04-02 21:56:23 EPC: 0072190000000000000003F9, TID: E280110520005986D48B0065
2022-04-02 21:56:24 EPC: 0072190000000000000003F9, TID: E280110520005986D48B0065
2022-04-02 21:56:30 EPC: 007219000000000000000A5C, TID: E280110520005645D2590065
2022-04-02 21:56:32 EPC: 007219000000000000000A5C, TID: E280110520005645D2590065
2022-04-02 21:56:33 EPC: 007219000000000000000A5C, TID: E280110520005645D2590065
